Column Name				Unit				Description
sy_umagerr1								u (Sloan) Magnitude Upper Unc
sy_umagerr2								u (Sloan) Magnitude Lower Unc
sy_gmag								g (Sloan) Magnitude
sy_gmagerr1								g (Sloan) Magnitude Upper Unc
sy_gmagerr2								g (Sloan) Magnitude Lower Unc
sy_rmag								r (Sloan) Magnitude
sy_rmagerr1								r (Sloan) Magnitude Upper Unc
sy_rmagerr2								r (Sloan) Magnitude Lower Unc
sy_imag								i (Sloan) Magnitude
sy_imagerr1								i (Sloan) Magnitude Upper Unc
sy_imagerr2								i (Sloan) Magnitude Lower Unc
sy_zmag								z (Sloan) Magnitude
sy_zmagerr1								z (Sloan) Magnitude Upper Unc
sy_zmagerr2								z (Sloan) Magnitude Lower Unc
sy_w1mag								W1 (WISE) Magnitude
sy_w1magerr1								W1 (WISE) Magnitude Upper Unc
sy_w1magerr2								W1 (WISE) Magnitude Lower Unc
sy_w2mag								W2 (WISE) Magnitude
sy_w2magerr1								W2 (WISE) Magnitude Upper Unc
sy_w2magerr2								W2 (WISE) Magnitude Lower Unc
sy_w3mag								W3 (WISE) Magnitude
sy_w3magerr1								W3 (WISE) Magnitude Upper Unc
sy_w3magerr2								W3 (WISE) Magnitude Lower Unc
sy_w4mag								W4 (WISE) Magnitude
sy_w4magerr1								W4 (WISE) Magnitude Upper Unc
sy_w4magerr2								W4 (WISE) Magnitude Lower Unc
sy_gaiamag								Gaia Magnitude
sy_gaiamagerr1								Gaia Magnitude Upper Unc
sy_gaiamagerr2								Gaia Magnitude Lower Unc
sy_icmag								I (Cousins) Magnitude
sy_icmagerr1								I (Cousins) Magnitude Upper Unc
sy_icmagerr2								I (Cousins) Magnitude Lower Unc
sy_tmag								TESS Magnitude
sy_tmagerr1								TESS Magnitude Upper Unc
sy_tmagerr2								TESS Magnitude Lower Unc
sy_kepmag								Kepler Magnitude
sy_kepmagerr1								Kepler Magnitude Upper Unc
sy_kepmagerr2								Kepler Magnitude Lower Unc
rowupdate								Date of Last Update
pl_pubdate								Planetary Parameter Reference Publication Date
releasedate								Release Date
pl_nnotes								Number of Notes
st_nphot								Number of Photometry Time Series
st_nrvc								Number of Radial Velocity Time Series
st_nspec								Number of Stellar Spectra Measurements
pl_nespec								Number of Emission Spectroscopy Measurements
pl_ntranspec								Number of Transmission Spectroscopy Measurements
								
